date,min_temp (C),max_temp (C),humudity (%),rainfall (mm),conditions,season
29/3/2025,10,18,63,0,cloudy,autumn
30/3/2025,8,22,84,11,rainy,autumn
31/3/2025,6,20,63,0,cloudy,autumn
1/4/2025,7,23,83,0,sunny,autumn
2/4/2025,9,23,70,0,sunny,autumn
3/4/2025,7,24,83,7,rainy,autumn
4/4/2025,10,22,62,12,rainy,autumn
5/4/2025,10,26,88,0,sunny,autumn
6/4/2025,11,19,86,0,cloudy,autumn
7/4/2025,10,21,85,4,rainy,autumn
8/4/2025,6,24,82,0,cloudy,autumn
9/4/2025,6,19,68,7,rainy,autumn
10/4/2025,9,19,77,0,sunny,autumn
11/4/2025,11,29,89,15,rainy,autumn
12/4/2025,11,18,72,0,cloudy,autumn
13/4/2025,8,21,63,9,rainy,autumn
14/4/2025,10,19,54,0,cloudy,autumn
15/4/2025,11,25,52,7,rainy,autumn
16/4/2025,9,19,75,15,rainy,autumn
17/4/2025,12,17,50,0,sunny,autumn
18/4/2025,10,22,67,0,cloudy,autumn
19/4/2025,6,27,73,13,rainy,autumn
20/4/2025,10,25,60,9,rainy,autumn
21/4/2025,8,18,82,0,sunny,autumn
22/4/2025,12,18,52,9,rainy,autumn
23/4/2025,7,26,68,0,sunny,autumn
24/4/2025,9,27,58,0,sunny,autumn
25/4/2025,7,23,86,9,rainy,autumn
26/4/2025,10,23,53,0,cloudy,autumn
27/4/2025,12,28,78,0,cloudy,autumn
28/4/2025,10,20,70,0,sunny,autumn
29/4/2025,9,23,72,0,cloudy,autumn
30/4/2025,10,25,60,11,rainy,autumn
1/5/2025,8,21,67,0,sunny,autumn
2/5/2025,8,18,83,10,rainy,autumn
3/5/2025,12,21,76,0,sunny,autumn
4/5/2025,11,24,58,0,cloudy,autumn
5/5/2025,9,25,62,12,rainy,autumn
6/5/2025,7,24,61,8,rainy,autumn
7/5/2025,6,17,80,13,rainy,autumn
8/5/2025,12,24,58,6,rainy,autumn
9/5/2025,8,20,51,0,sunny,autumn
10/5/2025,7,26,70,0,sunny,autumn
11/5/2025,12,21,84,0,cloudy,autumn
12/5/2025,8,17,75,0,sunny,autumn
13/5/2025,10,17,61,0,cloudy,autumn
14/5/2025,8,28,89,0,cloudy,autumn
15/5/2025,9,18,59,0,cloudy,autumn
16/5/2025,9,17,79,9,rainy,autumn
17/5/2025,12,18,65,0,sunny,autumn
18/5/2025,9,28,69,13,rainy,autumn
19/5/2025,9,17,81,0,sunny,autumn
20/5/2025,10,25,64,9,rainy,autumn
21/5/2025,7,23,74,0,sunny,autumn
22/5/2025,11,27,79,0,sunny,autumn
23/5/2025,9,27,72,12,rainy,autumn
24/5/2025,7,19,53,4,rainy,autumn
25/5/2025,9,23,59,0,sunny,autumn
26/5/2025,12,16,63,5,rainy,autumn
27/5/2025,7,24,76,0,cloudy,autumn
28/5/2025,8,16,75,0,sunny,autumn
29/5/2025,12,21,57,0,cloudy,autumn
30/5/2025,6,28,90,0,sunny,autumn
31/5/2025,8,27,55,0,sunny,autumn
1/6/2025,4,19,82,5,rainy,winter
2/6/2025,4,11,74,10,rainy,winter
3/6/2025,5,16,85,1,rainy,winter
4/6/2025,4,17,84,0,cloudy,winter
5/6/2025,4,11,85,0,cloudy,winter
6/6/2025,5,19,80,0,cloudy,winter
7/6/2025,9,15,51,3,rainy,winter
8/6/2025,9,14,85,0,cloudy,winter
9/6/2025,4,11,85,7,rainy,winter
10/6/2025,10,13,78,7,rainy,winter
11/6/2025,6,13,75,9,rainy,winter
12/6/2025,10,14,52,2,rainy,winter
13/6/2025,9,17,90,0,sunny,winter
14/6/2025,3,15,87,0,cloudy,winter
15/6/2025,6,17,73,10,rainy,winter
16/6/2025,3,12,72,0,sunny,winter
17/6/2025,8,16,74,0,cloudy,winter
18/6/2025,7,18,88,11,rainy,winter
19/6/2025,5,14,82,3,rainy,winter
20/6/2025,7,15,56,9,rainy,winter
21/6/2025,4,18,69,0,sunny,winter
22/6/2025,8,13,70,0,sunny,winter
23/6/2025,6,11,87,3,rainy,winter
24/6/2025,4,14,51,0,sunny,winter
25/6/2025,10,11,66,16,rainy,winter
26/6/2025,7,19,68,6,rainy,winter
27/6/2025,5,12,78,13,rainy,winter
28/6/2025,8,12,76,6,rainy,winter
29/6/2025,9,16,75,13,rainy,winter
30/6/2025,5,19,69,9,rainy,winter
1/7/2025,7,16,86,7,rainy,winter
2/7/2025,8,11,81,8,rainy,winter
3/7/2025,8,19,62,9,rainy,winter
4/7/2025,10,19,66,10,rainy,winter
5/7/2025,8,16,82,0,sunny,winter
6/7/2025,10,16,87,0,sunny,winter
7/7/2025,2,18,51,0,sunny,winter
8/7/2025,10,18,69,0,sunny,winter
9/7/2025,2,11,87,1,rainy,winter
10/7/2025,3,12,60,0,cloudy,winter
11/7/2025,6,19,77,0,sunny,winter
12/7/2025,3,14,68,10,rainy,winter
13/7/2025,4,14,80,14,rainy,winter
14/7/2025,6,14,56,0,sunny,winter
15/7/2025,10,19,83,11,rainy,winter
16/7/2025,6,13,59,0,cloudy,winter
17/7/2025,8,14,70,3,rainy,winter
18/7/2025,7,18,83,0,sunny,winter
19/7/2025,4,15,86,6,rainy,winter
20/7/2025,8,15,70,8,rainy,winter
21/7/2025,10,11,63,7,rainy,winter
22/7/2025,5,11,61,8,rainy,winter
23/7/2025,10,14,64,0,cloudy,winter
24/7/2025,5,11,75,6,rainy,winter
25/7/2025,6,18,61,9,rainy,winter
26/7/2025,8,19,56,0,cloudy,winter
27/7/2025,7,19,78,9,rainy,winter
28/7/2025,7,14,52,12,rainy,winter
29/7/2025,7,19,82,7,rainy,winter
30/7/2025,5,19,87,0,cloudy,winter
31/7/2025,7,19,70,14,rainy,winter
1/8/2025,7,16,74,6,rainy,winter
2/8/2025,6,17,78,0,sunny,winter
3/8/2025,2,13,57,9,rainy,winter
4/8/2025,2,17,69,0,sunny,winter
5/8/2025,3,17,81,5,rainy,winter
6/8/2025,5,15,64,2,rainy,winter
7/8/2025,10,12,59,0,sunny,winter
8/8/2025,4,15,83,15,rainy,winter
9/8/2025,3,11,66,0,cloudy,winter
10/8/2025,7,11,54,0,cloudy,winter
11/8/2025,7,19,79,0,sunny,winter
12/8/2025,9,13,78,11,rainy,winter
13/8/2025,3,19,77,0,cloudy,winter
14/8/2025,5,14,87,8,rainy,winter
15/8/2025,7,18,69,11,rainy,winter
16/8/2025,4,18,78,13,rainy,winter
17/8/2025,3,15,64,0,cloudy,winter
18/8/2025,3,18,81,0,sunny,winter
19/8/2025,2,,54,0,sunny,winter
20/8/2025,2,12,61,3,rainy,winter
21/8/2025,7,13,76,16,rainy,winter
22/8/2025,,,79,11,rainy,winter
23/8/2025,9,13,53,9,rainy,winter
24/8/2025,8,18,84,2,rainy,winter
25/8/2025,9,12,50,4,rainy,winter
26/8/2025,5,11,74,10,rainy,winter
27/8/2025,10,15,90,3,rainy,winter
28/8/2025,5,12,80,15,rainy,winter
29/8/2025,4,12,87,5,rainy,winter
30/8/2025,2,16,54,2,rainy,winter
31/8/2025,5,18,55,9,rainy,winter
1/9/2025,12,21,77,3,rainy,spring
2/9/2025,11,21,71,10,rainy,spring
3/9/2025,13,20,68,0,cloudy,spring
4/9/2025,8,25,76,0,sunny,spring
5/9/2025,14,19,57,0,cloudy,spring
6/9/2025,11,20,66,0,sunny,spring
7/9/2025,9,17,57,0,sunny,spring
8/9/2025,12,26,54,0,sunny,spring
9/9/2025,11,26,88,9,rainy,spring
10/9/2025,10,17,64,6,rainy,spring
11/9/2025,9,19,86,0,cloudy,spring
12/9/2025,8,15,81,10,rainy,spring
13/9/2025,12,28,73,0,sunny,spring
14/9/2025,14,24,70,15,rainy,spring
15/9/2025,10,23,65,0,sunny,spring
16/9/2025,11,25,76,0,sunny,spring
17/9/2025,14,22,64,2,rainy,spring
18/9/2025,12,17,82,15,rainy,spring
19/9/2025,12,,56,0,cloudy,spring
20/9/2025,14,18,60,0,cloudy,spring
21/9/2025,9,26,85,10,rainy,spring
22/9/2025,,,76,5,rainy,spring
23/9/2025,9,16,50,0,sunny,spring
24/9/2025,9,26,72,0,sunny,spring
25/9/2025,11,15,68,0,cloudy,spring
26/9/2025,8,26,88,0,sunny,spring
27/9/2025,13,19,90,0,sunny,spring
28/9/2025,13,25,52,0,sunny,spring
29/9/2025,10,18,90,0,sunny,spring
30/9/2025,11,25,70,4,rainy,spring
1/10/2025,14,23,60,0,cloudy,spring
2/10/2025,8,27,89,0,sunny,spring
3/10/2025,9,21,66,0,cloudy,spring
4/10/2025,9,17,85,0,cloudy,spring
5/10/2025,9,18,74,12,rainy,spring
6/10/2025,8,18,63,0,sunny,spring
7/10/2025,8,24,74,7,rainy,spring
8/10/2025,8,28,81,0,cloudy,spring
9/10/2025,11,18,65,9,rainy,spring
10/10/2025,14,,90,0,sunny,spring
11/10/2025,9,17,59,0,cloudy,spring
12/10/2025,8,20,78,8,rainy,spring
13/10/2025,11,,90,8,rainy,spring
14/10/2025,8,25,87,0,cloudy,spring
15/10/2025,9,27,61,14,rainy,spring
16/10/2025,,18,90,2,rainy,spring
17/10/2025,,17,86,7,rainy,spring
18/10/2025,14,22,90,12,rainy,spring
19/10/2025,10,20,76,4,rainy,spring
20/10/2025,12,27,50,13,rainy,spring
21/10/2025,11,25,52,14,rainy,spring
22/10/2025,12,18,54,8,rainy,spring
23/10/2025,14,26,69,0,sunny,spring
24/10/2025,13,21,82,9,rainy,spring
25/10/2025,11,18,62,0,sunny,spring
26/10/2025,13,15,90,6,rainy,spring
27/10/2025,8,25,81,0,sunny,spring
28/10/2025,9,28,72,0,sunny,spring
29/10/2025,8,18,75,13,rainy,spring
30/10/2025,10,22,74,15,rainy,spring
31/10/2025,13,16,65,0,cloudy,spring
1/11/2025,11,28,68,0,sunny,spring
2/11/2025,10,20,60,0,cloudy,spring
3/11/2025,10,21,67,0,cloudy,spring
4/11/2025,14,28,90,15,rainy,spring
5/11/2025,9,17,77,0,sunny,spring
6/11/2025,14,28,53,0,sunny,spring
7/11/2025,12,15,75,0,sunny,spring
8/11/2025,9,,72,7,rainy,spring
9/11/2025,9,27,70,1,rainy,spring
10/11/2025,,19,64,0,cloudy,spring
11/11/2025,11,28,89,0,sunny,spring
12/11/2025,12,26,59,0,cloudy,spring
13/11/2025,9,28,55,3,rainy,spring
14/11/2025,8,24,58,0,sunny,spring
15/11/2025,10,26,61,4,rainy,spring
16/11/2025,9,22,50,0,cloudy,spring
17/11/2025,13,19,66,0,cloudy,spring
18/11/2025,9,21,56,0,sunny,spring
19/11/2025,10,16,84,10,rainy,spring
20/11/2025,11,26,83,1,rainy,spring
21/11/2025,9,25,64,2,rainy,spring
22/11/2025,10,27,82,0,sunny,spring
23/11/2025,13,,50,0,cloudy,spring
24/11/2025,12,,55,0,cloudy,spring
25/11/2025,10,,81,14,rainy,spring
26/11/2025,12,,87,0,cloudy,spring
27/11/2025,9,,75,1,rainy,spring
28/11/2025,12,22,57,0,sunny,spring
29/11/2025,13,25,89,0,cloudy,spring
30/11/2025,14,23,71,0,sunny,spring
1/12/2025,15,39,59,0,cloudy,summer
2/12/2025,13,36,67,4,rainy,summer
3/12/2025,12,32,86,0,sunny,summer
4/12/2025,16,33,56,0,sunny,summer
5/12/2025,12,36,71,12,rainy,summer
6/12/2025,,25,89,0,sunny,summer
7/12/2025,14,38,67,14,rainy,summer
8/12/2025,11,29,77,4,rainy,summer
9/12/2025,10,,84,0,sunny,summer
10/12/2025,11,28,56,0,cloudy,summer
11/12/2025,13,43,51,0,cloudy,summer
12/12/2025,15,40,53,0,cloudy,summer
13/12/2025,12,33,66,0,sunny,summer
14/12/2025,11,35,51,0,sunny,summer
15/12/2025,16,27,89,0,sunny,summer
16/12/2025,,37,68,0,cloudy,summer
17/12/2025,15,33,60,0,sunny,summer
18/12/2025,16,,64,0,cloudy,summer
19/12/2025,10,30,50,0,cloudy,summer
20/12/2025,11,40,68,0,sunny,summer
21/12/2025,10,25,75,0,sunny,summer
22/12/2025,11,43,86,0,cloudy,summer
23/12/2025,16,30,61,0,cloudy,summer
24/12/2025,15,41,90,0,sunny,summer
25/12/2025,14,37,81,0,cloudy,summer
26/12/2025,14,28,80,0,cloudy,summer
27/12/2025,10,41,64,4,rainy,summer
28/12/2025,13,26,69,1,rainy,summer
29/12/2025,12,35,70,16,rainy,summer
30/12/2025,13,29,53,0,sunny,summer
31/12/2025,15,43,69,11,rainy,summer
